Band1,Band2,Band3,Band4,Band5,Band6
75,56,44,122,62,28
74,55,40,114,60,28
74,56,44,117,58,27
73,54,40,116,59,30
75,56,42,113,57,29
72,56,41,109,59,30
75,57,43,113,58,27
74,58,45,126,69,34
74,58,41,121,69,28
75,52,44,117,56,28
71,56,41,117,51,24
77,56,43,110,51,25
75,64,48,106,67,34
79,66,48,110,70,37
78,65,48,101,68,33
79,63,47,96,67,38
81,65,52,82,68,45
82,64,54,73,70,49
81,65,50,80,68,43
81,65,52,88,82,54
81,63,53,89,90,59
80,61,51,97,89,51
79,61,51,97,89,52
77,61,51,99,89,53
78,62,50,100,89,47
76,62,47,101,88,47
78,60,46,105,87,45
77,59,45,111,86,43
77,59,44,111,86,41
78,60,47,110,88,44
76,61,45,116,85,42
75,60,42,124,76,37
75,56,47,122,63,30
76,56,42,123,60,28
75,57,43,127,60,28
74,57,40,125,63,28
74,56,40,122,58,27
74,56,42,118,57,28
74,55,41,115,59,29
75,56,42,123,63,28
73,58,42,128,65,30
76,58,42,128,64,30
74,56,43,126,62,28
74,56,43,126,62,28
76,59,49,109,66,35
79,64,51,104,73,43
79,65,48,120,71,36
78,66,46,127,71,30
77,67,49,126,69,32
79,65,49,122,70,34
81,65,48,111,71,37
77,64,49,115,72,35
78,64,52,104,73,38
79,66,56,93,79,48
80,63,54,88,75,49
77,58,47,101,60,32
80,64,61,105,81,44
91,82,97,95,120,75
98,91,116,94,132,84
99,95,124,94,132,86
94,85,101,89,119,81
85,72,64,95,85,56
80,67,48,108,71,38
78,66,48,113,72,34
78,67,49,111,71,36
79,70,49,106,71,38
79,66,51,99,75,43
74,59,48,100,63,33
72,54,42,100,54,27
72,54,41,99,53,26
71,55,41,99,53,27
73,56,44,96,54,28
75,57,45,93,56,30
72,56,44,94,54,28
72,56,44,99,54,25
75,59,45,101,63,30
77,63,49,105,87,48
75,61,46,110,86,47
76,60,44,113,85,43
75,60,46,104,83,43
77,62,50,109,89,45
79,63,50,108,88,45
76,64,49,116,93,46
77,63,50,119,95,47
80,65,54,113,89,44
80,65,54,111,91,45
80,64,51,110,92,49
80,64,55,104,87,48
79,64,57,102,83,45
79,63,56,103,90,52
81,65,58,108,95,56
75,60,46,114,74,37
74,57,44,117,67,32
74,59,45,104,71,38
78,59,48,91,85,47
77,61,45,98,83,47
76,60,42,105,81,38
76,59,47,104,84,42
76,59,45,107,83,41
74,59,45,111,86,40
76,58,41,119,87,39
77,59,43,125,88,37
76,59,44,126,88,39
75,61,42,124,87,40
77,59,43,120,88,39
78,59,43,119,90,39
77,61,47,108,86,45
77,59,47,118,80,41
76,59,47,116,75,38
